country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",27-03-2025 13:00,25.0328,85.41948,NH3,2,2,2
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",27-03-2025 13:00,25.892357,86.590325,PM2.5,50,257,131
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",27-03-2025 13:00,25.892357,86.590325,PM10,71,131,101
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",27-03-2025 13:00,24.952822,84.002396,NO2,2,2,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",27-03-2025 13:00,24.952822,84.002396,SO2,5,5,5
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",27-03-2025 13:00,24.952822,84.002396,OZONE,2,14,9
India,Bihar,Siwan,"Chitragupta 45gar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,PM10,45,45,45
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,SO2,5,10,7
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,CO,80,125,97
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-03-2025 13:00,26.2271665,84.3570427,OZONE,1,120,54
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",27-03-2025 13:00,25.251013,86.989001,PM2.5,27,87,46
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",27-03-2025 13:00,25.251013,86.989001,NO2,20,58,28
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",27-03-2025 13:00,25.251013,86.989001,SO2,40,69,57
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",27-03-2025 13:00,25.265194,87.012947,PM2.5,10,177,97
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",27-03-2025 13:00,25.56752,83.966379,PM10,72,141,103
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",27-03-2025 13:00,25.56752,83.966379,SO2,2,13,7
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",27-03-2025 13:00,25.610369,85.132568,NO2,13,13,13
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",27-03-2025 13:00,25.610369,85.132568,SO2,1,7,5
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",27-03-2025 13:00,25.610369,85.132568,OZONE,41,43,43
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",27-03-2025 13:00,25.599486,85.113666,PM10,79,161,125
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",27-03-2025 13:00,26.1403345,85.3650192,PM2.5,30,163,85
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",27-03-2025 13:00,26.1403345,85.3650192,CO,48,114,81
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",27-03-2025 13:00,25.592539,85.227158,NO2,6,23,13
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",27-03-2025 13:00,24.7955,84.9994,NO2,4,15,8
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",27-03-2025 13:00,24.792403,84.992416,SO2,15,17,16
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",27-03-2025 13:00,24.792403,84.992416,OZONE,1,27,12
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",27-03-2025 13:00,26.11442,85.39813,NH3,7,11,9
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",27-03-2025 13:00,30.735567,76.775714,SO2,16,65,33
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",27-03-2025 13:00,28.647622,77.315809,OZONE,4,26,7
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",27-03-2025 13:00,28.695381,77.181665,PM10,170,500,360
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",27-03-2025 13:00,28.4706914,77.1099364,PM10,90,245,169
India,Delhi,Delhi,"Bawana, Delhi - DPCC",27-03-2025 13:00,28.7762,77.051074,PM10,92,500,302
India,Delhi,Delhi,"Bawana, Delhi - DPCC",27-03-2025 13:00,28.7762,77.051074,NH3,7,10,8
India,Delhi,Delhi,"Bawana, Delhi - DPCC",27-03-2025 13:00,28.7762,77.051074,SO2,12,87,31
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",27-03-2025 13:00,28.7256504,77.2011573,PM2.5,11,429,193
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",27-03-2025 13:00,28.7256504,77.2011573,NO2,1,15,6
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",27-03-2025 13:00,28.7256504,77.2011573,OZONE,3,85,8
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",27-03-2025 13:00,22.12665,83.483212,SO2,4,8,6
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",27-03-2025 13:00,22.12665,83.483212,CO,16,64,54
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",27-03-2025 13:00,22.12665,83.483212,OZONE,8,9,8
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",27-03-2025 13:00,22.1910172,83.5197009,PM2.5,45,45,45
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",27-03-2025 13:00,22.1910172,83.5197009,PM10,45,45,45
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",27-03-2025 13:00,22.1910172,83.5197009,CO,6,23,13
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",27-03-2025 13:00,21.258815,81.578979,PM2.5,9,29,19
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",27-03-2025 13:00,21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",27-03-2025 13:00,21.219665,81.630094,CO,20,92,63
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",27-03-2025 13:00,21.237755,81.705301,PM2.5,33,185,64
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",27-03-2025 13:00,22.06631475,83.33820077,NO2,19,96,62
India,Delhi,Delhi,"Alipur, Delhi - DPCC",27-03-2025 13:00,28.815329,77.15301,SO2,16,67,30
India,Delhi,Delhi,"Alipur, Delhi - DPCC",27-03-2025 13:00,28.815329,77.15301,CO,14,94,58
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",27-03-2025 13:00,28.647622,77.315809,PM2.5,20,413,269
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",27-03-2025 13:00,28.5710274,77.0719006,PM10,89,500,293
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",27-03-2025 13:00,28.5710274,77.0719006,NO2,32,70,47
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",27-03-2025 13:00,28.5627763,77.1180053,OZONE,5,110,25
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",27-03-2025 13:00,28.6811736,77.3025234,PM2.5,69,290,185
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",27-03-2025 13:00,28.6811736,77.3025234,SO2,6,14,8
